Region_EN,AVG_Salary,Population
Altai Region,25960,218866
Amur Region,43156,793194
Arkhangelsk Region,47526,1144119
Astrakhan Region,32166,1014065
Belgorod Region,31163,1547418
Bryansk Region,27403,1200187
Vladimir Region,31647,1365805
Volgograd Region,30097,2327821
Vologda Region,36081,1167713
Voronezh Region,31286,2327821
Moscow,78946,12615279
St Petersburg,58310,5383890
Sevastopol,31008,443212
The Jewish Autonomous Region,39797,159913
Zabaikalsky Region,40728,1065785
Ivanovo Region,26053,1004180
Irkutsk Region,42921,2397763
Kabardino-Balkar Republic,25318,866219
Kaliningrad Region,32473,1002187
Kaluga Region,38005,1009380
Kamchatka,71553,314723
Karachay-Cherkess Republic,25699,465563
Kemerovo Region,37857,2674256
Kirov Region,27580,1272109
Kostroma Region,27948,637267
Krasnodar Region,33258,5648235
Krasnoyarsk Region,44692,2874026
Kurgan Region,27887,834701
Kursk Region,30125,1107041
Leningrad Region,42434,1847867
Lipetsk Region,30775,1144035
Moscow Region,50135,7599647
Murmansk Region,56005,748056
Nenets Autonomous Okrug,77277,43829
Nizhny Novgorod Region,32973,3214623
Novgorod Region,30820,600296
Novosibirsk Region,36048,2793384
Omsk Region,32013,1944195
Orenburg Region,29892,1963007
Orel,26834,739467
Penza Region,30112,1318103
Perm Region,34809,2610800
Primorsky Region,42026,1902718
Pskov Region,27339,629651
Adygeya Republic,27455,454744
Republic of Bashkortostan,33137,4051005
Republic of Buryatia,37867,983273
Republic of Dagestan,24550,3086126
Ingush Republic,25663,497393
Republic of Kalmykia,25719,272647
Republic of Karelia,39755,618056
Republic of Komi,48316,830235
Republic of Crimea,28400,1911818
Republic of Mari El,28232,680380
Republic of Mordovia,26999,795504
The Republic of Sakha (Yakutia),65881,967009
Republic of North Ossetia-Alania,26108,699253
Republic of tatarstan,35722,3898628
Republic of tuva,35619,324423
Republic of Khakassia,37949,536167
Rostov Region,30647,4202320
Ryazan Region,31192,1114137
Samara Region,33086,3183038
Saratov Region,26555,2440815
Sakhalin Region,73261,489638
Sverdlovsk Region,37605,4315699
Smolensk Region,29566,942363
Stavropol Region,28256,2795243
Tambov Region,26754,1015966
Tver Region,30764,1269636
Tomsk Region,39707,1077442
Tula Region,33933,1478818
Tyumen Region,61937,3723969
Udmurt Republic,31990,1507390
Ulyanovsk Region,27927,1238416
Khabarovsk Region,46583,1321473
Khanty-Mansiysk Autonomous Okrug (Ugra),62555,1663795
Chelyabinsk Region,34944,3475753
Republic of Chechnya,26108,1456951
Chuvash Republic,27028,1223395
Chukotka AO,96930,49663
Yamalo-Nenets Autonomous district,86560,541479
Yaroslavl Region,33882,1259612
